fraudulent,paymentMethodRegistrationFailure,paymentMethodType,paymentMethodProvider,paymentMethodIssuer,transactionAmount,transactionFailed,orderAmount,orderState,emailDomain,emailProvider,customerIPAddressSimplified,sameCity
False,False,card,Discover,Rose Bancshares,34,False,33.0,fulfilled,com,hotmail,only_numeric_digits,no
False,False,apple pay,JCB 16 digit,Her Majesty Trust,12,False,48.0,failed,com,yahoo,digits_and_letters,unknown
False,False,paypal,VISA 16 digit,Bastion Banks,30,True,11.0,fulfilled,org,other,digits_and_letters,no
False,False,card,Diners Club / Carte Blanche,His Majesty Bank Corp.,30,True,23.0,fulfilled,com,gmail,only_numeric_digits,no
False,False,card,Diners Club / Carte Blanche,Fountain Financial Inc.,30,False,38.0,fulfilled,com,yahoo,digits_and_letters,no
False,False,card,VISA 16 digit,Solace Banks,22,False,12.0,fulfilled,com,gmail,only_numeric_digits,no
False,False,card,JCB 15 digit,Bastion Banks,11,False,15.0,failed,net,other,digits_and_letters,no
False,False,card,Discover,Rose Bancshares,14,False,11.0,fulfilled,com,other,only_numeric_digits,no
True,False,card,American Express,Rose Bancshares,37,False,39.0,failed,com,other,only_numeric_digits,no
True,False,card,VISA 13 digit,His Majesty Bank Corp.,42,True,19.0,fulfilled,com,gmail,only_numeric_digits,no
True,False,card,Discover,Bulwark Trust Corp.,42,False,45.0,fulfilled,com,other,only_numeric_digits,unknown
False,False,paypal,Maestro,Vertex Bancorp,11,False,50.0,fulfilled,com,hotmail,digits_and_letters,unknown
True,False,apple pay,JCB 16 digit,Bulwark Trust Corp.,29,False,42.0,fulfilled,com,other,only_numeric_digits,unknown
True,False,paypal,JCB 16 digit,Citizens First Banks,31,False,10.0,fulfilled,org,other,digits_and_letters,unknown
True,False,apple pay,JCB 16 digit,Citizens First Banks,33,False,30.0,fulfilled,com,other,only_numeric_digits,unknown
True,False,card,Mastercard,Vertex Bancorp,47,True,48.0,failed,org,other,only_numeric_digits,no
False,False,card,VISA 16 digit,Rose Bancshares,47,False,42.0,pending,com,other,digits_and_letters,no
False,False,apple pay,VISA 16 digit,Her Majesty Trust,25,False,29.0,fulfilled,com,gmail,only_numeric_digits,no
True,False,card,American Express,Solace Banks,25,True,65.0,failed,com,hotmail,only_numeric_digits,no
False,False,card,Maestro,Solace Banks,25,False,75.0,pending,com,gmail,only_numeric_digits,no
True,False,card,JCB 15 digit,Citizens First Banks,33,False,58.0,fulfilled,com,hotmail,digits_and_letters,yes
False,False,card,JCB 16 digit,Vertex Bancorp,48,False,58.0,fulfilled,com,other,only_numeric_digits,no
False,False,card,Diners Club / Carte Blanche,Vertex Bancorp,11,True,32.0,fulfilled,com,other,digits_and_letters,no
True,False,card,JCB 16 digit,Citizens First Banks,11,False,36.0,fulfilled,com,other,only_numeric_digits,no
False,False,card,VISA 16 digit,Her Majesty Trust,23,False,14.0,fulfilled,com,other,digits_and_letters,no
False,True,card,Maestro,His Majesty Bank Corp.,38,False,15.0,fulfilled,com,hotmail,only_numeric_digits,no
True,False,card,Voyager,Fountain Financial Inc.,12,True,46.0,fulfilled,biz,other,digits_and_letters,no
True,False,card,JCB 16 digit,Her Majesty Trust,12,True,18.0,fulfilled,com,hotmail,only_numeric_digits,unknown
True,False,card,JCB 16 digit,Vertex Bancorp,12,False,30.0,failed,com,gmail,digits_and_letters,no
True,False,card,Mastercard,Grand Credit Corporation,15,True,16.0,fulfilled,com,other,only_numeric_digits,no
False,True,card,VISA 13 digit,Citizens First Banks,15,False,30.0,fulfilled,com,yahoo,only_numeric_digits,no
False,False,card,American Express,Grand Credit Corporation,11,False,38.0,fulfilled,com,gmail,digits_and_letters,no
True,False,card,Maestro,Fountain Financial Inc.,39,False,49.0,fulfilled,net,other,digits_and_letters,no
True,False,card,VISA 16 digit,Her Majesty Trust,19,True,29.0,fulfilled,com,other,digits_and_letters,no
True,False,card,Diners Club / Carte Blanche,Citizens First Banks,19,False,20.0,fulfilled,com,yahoo,digits_and_letters,no
True,False,card,JCB 16 digit,His Majesty Bank Corp.,45,False,40.0,fulfilled,info,other,only_numeric_digits,no
False,False,card,American Express,Grand Credit Corporation,50,False,44.0,fulfilled,com,gmail,only_numeric_digits,no
False,False,paypal,JCB 16 digit,His Majesty Bank Corp.,42,False,10.0,fulfilled,info,other,digits_and_letters,no
True,False,card,VISA 16 digit,Citizens First Banks,10,False,34.0,fulfilled,weird,weird,only_numeric_digits,no
False,False,paypal,VISA 13 digit,Fountain Financial Inc.,30,True,39.0,fulfilled,com,hotmail,only_numeric_digits,unknown
False,False,card,American Express,Bastion Banks,30,False,49.0,fulfilled,org,other,only_numeric_digits,no
False,False,bitcoin,Discover,B,48,True,29.0,fulfilled,com,gmail,only_numeric_digits,unknown
True,False,card,Voyager,r,48,False,25.0,fulfilled,info,other,digits_and_letters,unknown
False,False,card,VISA 16 digit,Rose Bancshares,42,True,14.0,fulfilled,com,yahoo,only_numeric_digits,unknown
False,False,card,JCB 15 digit,Vertex Bancorp,42,False,32.0,failed,com,other,digits_and_letters,no
True,False,card,JCB 16 digit,Grand Credit Corporation,29,False,21.0,fulfilled,com,gmail,only_numeric_digits,no
False,True,bitcoin,Discover,Bulwark Trust Corp.,65,False,10.0,fulfilled,com,other,digits_and_letters,no
False,False,card,Discover,Her Majesty Trust,75,False,11.0,fulfilled,org,other,digits_and_letters,no
False,False,card,Mastercard,His Majesty Bank Corp.,58,True,47.0,fulfilled,com,yahoo,only_numeric_digits,no
True,False,card,VISA 16 digit,Her Majesty Trust,58,False,50.0,fulfilled,com,other,only_numeric_digits,no
True,True,card,JCB 15 digit,Fountain Financial Inc.,58,False,39.0,fulfilled,com,other,digits_and_letters,unknown
True,False,card,VISA 13 digit,Fountain Financial Inc.,32,False,18.0,fulfilled,com,yahoo,digits_and_letters,no
False,False,card,Voyager,Rose Bancshares,36,False,29.0,fulfilled,com,other,digits_and_letters,no
False,False,card,VISA 13 digit,Vertex Bancorp,14,True,41.0,pending,com,yahoo,digits_and_letters,unknown
False,False,card,Diners Club / Carte Blanche,Solace Banks,14,False,45.0,fulfilled,com,yahoo,only_numeric_digits,no
False,True,card,VISA 13 digit,Citizens First Banks,15,False,22.0,fulfilled,com,other,digits_and_letters,no
True,False,paypal,Diners Club / Carte Blanche,His Majesty Bank Corp.,46,False,29.0,fulfilled,biz,other,only_numeric_digits,no
False,False,apple pay,VISA 13 digit,Rose Bancshares,18,False,51.0,fulfilled,net,other,digits_and_letters,no
False,False,paypal,VISA 16 digit,Vertex Bancorp,30,False,36.0,fulfilled,com,yahoo,only_numeric_digits,no
True,False,card,Maestro,Bastion Banks,16,True,60.0,fulfilled,com,hotmail,digits_and_letters,unknown
False,False,card,Discover,Her Majesty Trust,16,False,52.0,fulfilled,com,hotmail,digits_and_letters,no
False,True,bitcoin,JCB 16 digit,Bastion Banks,30,False,68.0,fulfilled,com,other,digits_and_letters,unknown
False,False,card,Diners Club / Carte Blanche,Bulwark Trust Corp.,38,False,51.0,fulfilled,com,yahoo,digits_and_letters,unknown
True,True,bitcoin,Discover,Fountain Financial Inc.,49,False,31.0,fulfilled,com,gmail,digits_and_letters,no
False,False,card,Discover,Her Majesty Trust,29,False,36.0,fulfilled,com,other,only_numeric_digits,no
False,True,card,VISA 16 digit,Fountain Financial Inc.,20,False,42.0,fulfilled,biz,other,only_numeric_digits,no
True,False,card,Maestro,His Majesty Bank Corp.,40,False,35.0,fulfilled,com,other,only_numeric_digits,no
False,False,card,VISA 16 digit,Bulwark Trust Corp.,44,True,17.0,fulfilled,biz,other,digits_and_letters,no
False,False,card,Voyager,Her Majesty Trust,44,False,33.0,failed,com,hotmail,only_numeric_digits,no
False,True,card,Maestro,Citizens First Banks,10,False,353.0,fulfilled,com,other,digits_and_letters,no
False,True,card,Diners Club / Carte Blanche,Solace Banks,34,True,17.0,fulfilled,com,hotmail,only_numeric_digits,no
True,False,card,VISA 16 digit,Grand Credit Corporation,34,False,24.0,fulfilled,com,other,only_numeric_digits,no
False,False,card,Voyager,Her Majesty Trust,39,False,35.0,pending,com,gmail,digits_and_letters,no
False,False,card,JCB 16 digit,Bulwark Trust Corp.,49,False,32.0,fulfilled,com,yahoo,only_numeric_digits,unknown
True,False,bitcoin,VISA 16 digit,Vertex Bancorp,29,False,36.0,fulfilled,com,hotmail,only_numeric_digits,no
False,True,apple pay,American Express,Bastion Banks,25,True,41.0,fulfilled,com,gmail,only_numeric_digits,unknown
False,False,apple pay,Diners Club / Carte Blanche,Citizens First Banks,25,False,19.0,failed,com,yahoo,only_numeric_digits,no
False,False,card,JCB 16 digit,Bulwark Trust Corp.,14,True,20.0,fulfilled,com,hotmail,digits_and_letters,no
False,False,card,VISA 16 digit,Fountain Financial Inc.,14,True,37.0,fulfilled,org,other,digits_and_letters,no
False,False,apple pay,VISA 16 digit,Solace Banks,14,True,14.0,fulfilled,com,hotmail,digits_and_letters,no
False,True,card,American Express,Solace Banks,14,True,49.0,fulfilled,com,other,digits_and_letters,no
True,False,card,JCB 16 digit,Grand Credit Corporation,14,False,43.0,fulfilled,weird,weird,digits_and_letters,no
False,False,card,Voyager,Citizens First Banks,32,True,31.0,fulfilled,net,other,only_numeric_digits,no
True,False,card,VISA 16 digit,Vertex Bancorp,32,False,46.0,fulfilled,biz,other,digits_and_letters,no
False,False,card,Diners Club / Carte Blanche,Vertex Bancorp,21,False,16.0,fulfilled,com,gmail,digits_and_letters,unknown
True,False,apple pay,VISA 13 digit,Fountain Financial Inc.,10,True,15.0,fulfilled,com,gmail,digits_and_letters,no
False,False,card,JCB 16 digit,Citizens First Banks,10,True,18.0,failed,com,gmail,digits_and_letters,unknown
False,True,card,JCB 15 digit,Grand Credit Corporation,10,False,16.0,fulfilled,com,other,digits_and_letters,no
False,True,card,American Express,Rose Bancshares,11,True,39.0,pending,com,other,only_numeric_digits,unknown
False,False,card,JCB 16 digit,Solace Banks,11,False,37.0,fulfilled,com,other,only_numeric_digits,no
True,False,apple pay,VISA 16 digit,Vertex Bancorp,47,True,12.0,failed,com,yahoo,digits_and_letters,no
True,True,apple pay,VISA 16 digit,Bulwark Trust Corp.,47,False,48.0,failed,com,other,digits_and_letters,no
False,False,card,Voyager,Her Majesty Trust,50,False,41.0,fulfilled,net,other,digits_and_letters,no
True,False,card,VISA 13 digit,Fountain Financial Inc.,39,False,29.0,fulfilled,com,other,only_numeric_digits,no
True,False,apple pay,VISA 13 digit,Vertex Bancorp,18,True,22.0,fulfilled,biz,other,only_numeric_digits,no
True,False,card,Discover,c,18,False,44.0,fulfilled,com,gmail,digits_and_letters,no
True,False,bitcoin,VISA 13 digit, ,29,False,43.0,failed,com,other,only_numeric_digits,no
False,False,card,Mastercard,Rose Bancshares,41,True,41.0,fulfilled,com,other,only_numeric_digits,no
,False,card,JCB 15 digit,Bulwark Trust Corp.,41,False,16.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,apple pay,Discover,Bulwark Trust Corp.,45,False,37.0,failed,weird,weird,only_numeric_digits,unknown
,False,card,JCB 16 digit,Solace Banks,22,False,31.0,fulfilled,weird,weird,only_numeric_digits,unknown
,True,card,JCB 16 digit,Fountain Financial Inc.,29,False,24.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,JCB 15 digit,Vertex Bancorp,51,True,11.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,paypal,Maestro,Solace Banks,51,False,42.0,fulfilled,weird,weird,only_numeric_digits,unknown
,True,bitcoin,Discover,Grand Credit Corporation,36,False,37.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,Voyager,Her Majesty Trust,60,False,30.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,Mastercard,Bulwark Trust Corp.,52,False,12.0,fulfilled,weird,weird,only_numeric_digits,unknown
,True,card,Diners Club / Carte Blanche,Vertex Bancorp,68,False,16.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,paypal,VISA 16 digit,Grand Credit Corporation,51,False,14.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,Voyager,Grand Credit Corporation,31,False,23.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,Maestro,Rose Bancshares,36,False,50.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,JCB 15 digit,Rose Bancshares,42,False,34.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,bitcoin,Maestro,Bastion Banks,35,True,43.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,VISA 13 digit,Bastion Banks,35,False,15.0,failed,weird,weird,only_numeric_digits,unknown
,False,card,JCB 16 digit,Bastion Banks,17,True,48.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,JCB 16 digit,Her Majesty Trust,17,True,45.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,JCB 16 digit,Fountain Financial Inc.,17,True,13.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,Voyager,Her Majesty Trust,17,False,14.0,fulfilled,weird,weird,only_numeric_digits,unknown
,True,card,VISA 16 digit,Her Majesty Trust,33,False,49.0,pending,weird,weird,only_numeric_digits,unknown
,True,apple pay,Voyager,Bastion Banks,353,True,25.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,bitcoin,Mastercard,Vertex Bancorp,17,False,41.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,apple pay,Voyager,Fountain Financial Inc.,24,True,25.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,JCB 16 digit,Her Majesty Trust,24,False,45.0,failed,weird,weird,only_numeric_digits,unknown
,False,apple pay,Diners Club / Carte Blanche,Bastion Banks,35,False,15.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,VISA 16 digit,Her Majesty Trust,32,False,34.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,VISA 16 digit,Vertex Bancorp,36,True,22.0,fulfilled,weird,weird,only_numeric_digits,unknown
,True,paypal,JCB 16 digit,Bastion Banks,36,True,21.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,paypal,Maestro,n,36,True,35.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,Voyager,r,41,False,20.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,bitcoin,Mastercard,e,19,True,41.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,JCB 16 digit,Citizens First Banks,19,False,34.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,Discover,His Majesty Bank Corp.,20,False,32.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,apple pay,Voyager,Her Majesty Trust,37,True,13.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,JCB 15 digit,His Majesty Bank Corp.,37,True,10.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,bitcoin,JCB 16 digit,Fountain Financial Inc.,37,False,18.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,Diners Club / Carte Blanche,Bulwark Trust Corp.,14,False,46.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,Diners Club / Carte Blanche,e,49,False,72.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,Voyager,Bulwark Trust Corp.,43,False,50.0,fulfilled,weird,weird,only_numeric_digits,unknown
,True,paypal,Mastercard,B,31,False,42.0,failed,weird,weird,only_numeric_digits,unknown
,False,apple pay,American Express,Rose Bancshares,46,False,56.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,Diners Club / Carte Blanche,Bulwark Trust Corp.,16,False,30.0,pending,weird,weird,only_numeric_digits,unknown
,False,card,Diners Club / Carte Blanche,Fountain Financial Inc.,15,False,40.0,fulfilled,weird,weird,only_numeric_digits,unknown
,True,card,VISA 16 digit,Fountain Financial Inc.,18,False,34.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,paypal,Discover,Her Majesty Trust,16,False,47.0,fulfilled,weird,weird,only_numeric_digits,unknown
,True,card,JCB 15 digit,Citizens First Banks,39,False,31.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,JCB 16 digit,Bastion Banks,37,False,28.0,fulfilled,weird,weird,only_numeric_digits,unknown
,True,card,Voyager,His Majesty Bank Corp.,12,False,11.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,American Express,Bulwark Trust Corp.,48,True,27.0,fulfilled,weird,weird,only_numeric_digits,unknown
,True,card,VISA 13 digit,Rose Bancshares,48,False,19.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,JCB 16 digit,Fountain Financial Inc.,41,False,17.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,bitcoin,JCB 15 digit,B,29,False,27.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,VISA 16 digit,c,22,False,46.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,VISA 16 digit,Bulwark Trust Corp.,44,False,46.0,pending,weird,weird,only_numeric_digits,unknown
,False,card,JCB 16 digit,Grand Credit Corporation,43,True,59.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,Voyager,Grand Credit Corporation,43,True,71.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,VISA 13 digit,Citizens First Banks,41,False,75.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,Mastercard,Grand Credit Corporation,16,True,56.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,VISA 13 digit,Her Majesty Trust,16,True,48.0,pending,weird,weird,only_numeric_digits,unknown
,False,card,JCB 16 digit,Rose Bancshares,16,False,55.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,paypal,Voyager,Grand Credit Corporation,37,False,67.0,pending,weird,weird,only_numeric_digits,unknown
,False,card,JCB 15 digit,Fountain Financial Inc.,31,True,40.0,failed,weird,weird,only_numeric_digits,unknown
,False,apple pay,JCB 16 digit,Fountain Financial Inc.,31,False,70.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,VISA 13 digit,His Majesty Bank Corp.,24,True,52.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,Diners Club / Carte Blanche,Bulwark Trust Corp.,24,False,73.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,paypal,JCB 16 digit,Vertex Bancorp,11,True,43.0,failed,weird,weird,only_numeric_digits,unknown
,False,apple pay,Voyager,Vertex Bancorp,11,False,45.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,Discover,Grand Credit Corporation,42,False,15.0,failed,weird,weird,only_numeric_digits,unknown
,False,card,Maestro,His Majesty Bank Corp.,37,False,16.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,paypal,Maestro,Fountain Financial Inc.,30,True,39.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,bitcoin,American Express,c,30,False,40.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,JCB 16 digit,r,12,False,33.0,failed,weird,weird,only_numeric_digits,unknown
,False,card,VISA 16 digit,n,16,True,50.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,VISA 16 digit,Grand Credit Corporation,14,False,36.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,JCB 16 digit,Grand Credit Corporation,23,False,35.0,failed,weird,weird,only_numeric_digits,unknown
,False,card,VISA 16 digit,Solace Banks,50,False,46.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,Diners Club / Carte Blanche,Fountain Financial Inc.,34,False,49.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,JCB 15 digit,His Majesty Bank Corp.,43,True,16.0,fulfilled,weird,weird,only_numeric_digits,unknown
,True,bitcoin,VISA 16 digit,Fountain Financial Inc.,43,False,36.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,VISA 16 digit,His Majesty Bank Corp.,15,False,15.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,Voyager,Solace Banks,48,True,43.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,JCB 16 digit,Rose Bancshares,48,False,36.0,fulfilled,weird,weird,only_numeric_digits,unknown
,False,card,Diners Club / Carte Blanche,Solace Banks,45,False,11.0,fulfilled,weird,weird,only_numeric_digits,unknown
